ocity,dcity,POP
110000,330200,643.5152798
110000,330300,540.9097257
110000,330400,530.9736154
110000,330500,256.9194485
110000,330600,288.9583371
110000,330700,515.5625055
110000,330800,119.850002
110000,330900,129.2433358
110000,331000,405.0486154
110000,331100,99.2080578
110000,340100,2069.752777
110000,340200,1025.852779
110000,340300,517.7930588
110000,340400,316.5361154
110000,340500,559.9708393
110000,340600,310.8583375
110000,340700,178.7333352
110000,340800,1191.522224
110000,341000,326.5888928
110000,341100,433.3361143
110000,341200,2400.990293
110000,341300,1067.625005
110000,341500,716.8194481
110000,341600,1164.65417
110000,341700,317.2277806
110000,341800,179.095003
110000,350100,519.2125026
110000,350200,452.6000033
110000,350300,145.0400015
110000,350400,64.1666679
110000,350500,352.6305592
110000,350600,89.09416876
110000,350700,119.5366688
110000,350800,79.56416812
110000,350900,80.3316683
110000,360100,940.483336
110000,360200,140.7533362
110000,360300,48.70583435
110000,360400,515.15695
110000,360500,34.99833419
110000,360600,27.57166721
110000,360700,192.4383365
110000,360800,206.2866688
110000,360900,214.7866705
110000,361000,154.5555573
110000,361100,281.325004
110000,370100,15787.87219
110000,370200,9054.43332
110000,370300,5177.423632
110000,370400,1893.741669
110000,370500,6949.701379
110000,370600,8904.884724
110000,370700,7914.315287
110000,370800,5748.851419
110000,370900,5862.812507
110000,371000,3737.194434
110000,371100,1676.769453
110000,371300,5645.738901
110000,371400,20376.63189
110000,371500,9605.17775
110000,371600,9336.902783
110000,371700,9025.638915
110000,410100,8972.511085
110000,410200,2892.016671
110000,410300,2066.102787
110000,410400,1133.223614
110000,410500,4857.440287
110000,410600,1043.494443
110000,410700,2970.288902
110000,410800,1411.840279
110000,410900,6780.077794
110000,411000,1392.880557
110000,411100,687.0111158
110000,411200,473.8916724
110000,411300,2629.013888
110000,411400,3573.552788
110000,411500,4248.802787
110000,411600,5657.19582
110000,411700,2980.529173
110000,419001,191.7288926
110000,420100,2616.543057
110000,420200,275.3627811
